created_at,screen_name,text
2020-11-01,Juliarso,"Malioboro is the most famous road in Yogyakarta. I choose to go to this road in night time and have a dinner here or even a cup of coffee. Listening to the music played by street musician and have a talk with locals."
2020-11-01,Suyo Wong,"If you are the first time to Yogya this is recommended surround by hotels shops batik shops local foods international foods mc.donalds starbucks etc to gudeg soto fried rice until hidden gems like delicious pork satay.  Malioboro is the way to Kraton (Yogyakarta"
2020-07-01,rico j,"Malioboro is the true heart of Jogja's downtown. As such it's no wonder that the neighborhood now offers numerous affordable lodgings despite the fact that the city has indeed had increased number of star hotels."
2020-07-01,Suyo Wong,"Not my first time visit Malioboro street but I always returns and visit local store here. You may find a good Soto Ayam (traditional chicken broth soup) or pork satay at china town open at evening time or just local food like gudeg in the street but I would like to suggest that"
2020-07-01,Bobby,"Experienced the local shopping at the night with family. Prices are low and so many options for shopping and food and malls."
2019-07-01,Adi Farhan @ SEU338E,"Get to experience the local food see the busy street of Jogja and shop till i drop. This is where to buy souvenirs from friends and family."
2019-05-01,Nityo Kumara,"Here there are many musical performances where to eat where to play and also a place to have fun. please be careful here because there are many fraudulent acts."
2020-02-01,Dharmadji5,"Malioboro is the place you should go wonder and experience to go when in Jogjakarta. It’s shoulder to shoulder ambiance w things to see shop eat and listen to music while you do all. If lucky enough you get to to eat and concert in the front row. Enjoy and experience it."
2019-12-01,Finelsa,"This is a very busy street. If you love culture especially the Javanese culture this place is for you. Walk along the street on “Wage” Tuesday and you will see lots and lots of cultural performances here and lots and lots of people to. Lots of food lots of souvenirs lots of"
2019-11-01,PFY,"We walked up and down this street a few times over three days and found it very interesting each and ever time both during the day and night. The traffic was never-ending even late at night and there was a continuous stream of cars motorcycles horse buggies trishaws etc."
2019-11-01,Bambang Ismanto,"It is main landmark and must see visit in Jogjakarta. It is combination of eccellent street activies.. art.. food and traditional attraction. You can walk and enjoy this uniqueness of Jogjakarta."
2019-11-01,lutphy e,"Good place to visit when you are in Yogyakarta especially in the evening you can find lot of food store (but dont expect those are cheap) you may also buy some souvenir and batik."
2019-07-01,frida s,"I did my undergrad in Yogyakarta so I'm very familiar with this place and I always make time to come here every time I visit Yogyakarta"
2019-10-01,Chocapikeuh,"I walked on the street many times and always met nice indonesien who wanted to speak French with me ;) at night you can listen many groups who make music from bambou instruments sounds really peaceful !"
2019-10-01,Robbyrob,"Maliboro is an icon of Yogyakarta. You couldn't said you had go to Indonesia especially Yogyakarta if you weren't stand on this famous street. So many something pleasant here."
2019-10-01,DipuKV,"Malioboro is a must on any visit to Yogyakarta. The heart of the city this is where locals converge for being busy (shopping) and being relaxed (strolling) Tourists join the proceedings as well. Consequently the place is vibrant and offers you a chance to buy just about"
2019-10-01,Rahadhian,"The distinctive road and well know icon in Yogyakarta. This road and its surrounding are centre of tourist attractions. Very popular and crowded during holiday seasons. Close to Yogyakarta train station it also is surrounded by lots of hotels sidewalk shops and restaurants."
